All Companies,Countries,Year,Value,Value-obsStatus,Change,Change-obsStatus
on-register-at-start-of-period,england-and-wales,2012-2013,2663061,,,z
incorporations,england-and-wales,2012-2013,451729,,,z
dissolved,england-and-wales,2012-2013,283384,,,z
restored-to-the-register,england-and-wales,2012-2013,4460,,,z
on-register-at-end-of-period,england-and-wales,2012-2013,2835866,,,z
change-on-previous-year,england-and-wales,2012-2013,,z,0-06,
of-which-in-liquidation,england-and-wales,2012-2013,74957,,,z
-in-course-of-removal,england-and-wales,2012-2013,172569,,,z
effective-numbers-on-register-at-end-of-period,england-and-wales,2012-2013,2588340,,,z
change-on-previous-year,england-and-wales,2012-2013,,z,0-06,
on-register-at-start-of-period,scotland,2012-2013,157129,,,z
incorporations,scotland,2012-2013,25454,,,z
dissolved,scotland,2012-2013,16337,,,z
restored-to-the-register,scotland,2012-2013,260,,,z
on-register-at-end-of-period,scotland,2012-2013,166506,,,z
change-on-previous-year,scotland,2012-2013,,z,0-06,
of-which-in-liquidation,scotland,2012-2013,3938,,,z
-in-course-of-removal,scotland,2012-2013,11320,,,z
effective-numbers-on-register-at-end-of-period,scotland,2012-2013,151248,,,z
change-on-previous-year,scotland,2012-2013,,z,0-06,
on-register-at-start-of-period,northern-ireland,2012-2013,39476,,,z
incorporations,northern-ireland,2012-2013,5611,,,z
dissolved,northern-ireland,2012-2013,2895,,,z
restored-to-the-register,northern-ireland,2012-2013,146,,,z
on-register-at-end-of-period,northern-ireland,2012-2013,42338,,,z
change-on-previous-year,northern-ireland,2012-2013,,z,0-07,
of-which-in-liquidation,northern-ireland,2012-2013,1527,,,z
-in-course-of-removal,northern-ireland,2012-2013,2033,,,z
effective-numbers-on-register-at-end-of-period,northern-ireland,2012-2013,38778,,,z
change-on-previous-year,northern-ireland,2012-2013,,z,0-07,
on-register-at-start-of-period,united-kingdom,2012-2013,2859666,,,z
incorporations,united-kingdom,2012-2013,482794,,,z
dissolved,united-kingdom,2012-2013,302616,,,z
restored-to-the-register,united-kingdom,2012-2013,4866,,,z
on-register-at-end-of-period,united-kingdom,2012-2013,3044710,,,z
change-on-previous-year,united-kingdom,2012-2013,,z,0-06,
of-which-in-liquidation,united-kingdom,2012-2013,80422,,,z
-in-course-of-removal,united-kingdom,2012-2013,185922,,,z
effective-numbers-on-register-at-end-of-period,united-kingdom,2012-2013,2778366,,,z
change-on-previous-year,united-kingdom,2012-2013,,z,0-06,
on-register-at-start-of-period,england-and-wales,2013-2014,2835866,,,z
incorporations,england-and-wales,2013-2014,499272,,,z
dissolved,england-and-wales,2013-2014,311737,,,z
restored-to-the-register,england-and-wales,2013-2014,4644,,,z
on-register-at-end-of-period,england-and-wales,2013-2014,3027852,,,z
change-on-previous-year,england-and-wales,2013-2014,,z,0-07,
of-which-in-liquidation,england-and-wales,2013-2014,77101,,,z
-in-course-of-removal,england-and-wales,2013-2014,185068,,,z
effective-numbers-on-register-at-end-of-period,england-and-wales,2013-2014,2765683,,,z
change-on-previous-year,england-and-wales,2013-2014,,z,0-07,
on-register-at-start-of-period,scotland,2013-2014,166506,,,z
incorporations,scotland,2013-2014,27602,,,z
dissolved,scotland,2013-2014,17470,,,z
restored-to-the-register,scotland,2013-2014,299,,,z
on-register-at-end-of-period,scotland,2013-2014,176819,,,z
change-on-previous-year,scotland,2013-2014,,z,0-06,
of-which-in-liquidation,scotland,2013-2014,3904,,,z
-in-course-of-removal,scotland,2013-2014,12133,,,z
