All Companies,Countries,Year,Value,Value-obsStatus,Change,Change-obsStatus
On register at start of period,England and Wales,2012-2013,2663061.0,,,z
Incorporations,England and Wales,2012-2013,451729.0,,,z
Dissolved,England and Wales,2012-2013,283384.0,,,z
Restored to the register,England and Wales,2012-2013,4460.0,,,z
On register at end of period,England and Wales,2012-2013,2835866.0,,,z
Change on previous year,England and Wales,2012-2013,,z,0.06,
Of which: in liquidation,England and Wales,2012-2013,74957.0,,,z
                 in course of removal,England and Wales,2012-2013,172569.0,,,z
Effective numbers on register at end of period,England and Wales,2012-2013,2588340.0,,,z
Change on previous year,England and Wales,2012-2013,,z,0.06,
On register at start of period,Scotland,2012-2013,157129.0,,,z
Incorporations,Scotland,2012-2013,25454.0,,,z
Dissolved,Scotland,2012-2013,16337.0,,,z
Restored to the register,Scotland,2012-2013,260.0,,,z
On register at end of period,Scotland,2012-2013,166506.0,,,z
Change on previous year,Scotland,2012-2013,,z,0.06,
Of which: in liquidation,Scotland,2012-2013,3938.0,,,z
                 in course of removal,Scotland,2012-2013,11320.0,,,z
Effective numbers on register at end of period,Scotland,2012-2013,151248.0,,,z
Change on previous year,Scotland,2012-2013,,z,0.06,
On register at start of period,Northern Ireland,2012-2013,39476.0,,,z
Incorporations,Northern Ireland,2012-2013,5611.0,,,z
Dissolved,Northern Ireland,2012-2013,2895.0,,,z
Restored to the register,Northern Ireland,2012-2013,146.0,,,z
On register at end of period,Northern Ireland,2012-2013,42338.0,,,z
Change on previous year,Northern Ireland,2012-2013,,z,0.07,
Of which: in liquidation,Northern Ireland,2012-2013,1527.0,,,z
                 in course of removal,Northern Ireland,2012-2013,2033.0,,,z
Effective numbers on register at end of period,Northern Ireland,2012-2013,38778.0,,,z
Change on previous year,Northern Ireland,2012-2013,,z,0.07,
On register at start of period,United Kingdom,2012-2013,2859666.0,,,z
Incorporations,United Kingdom,2012-2013,482794.0,,,z
Dissolved,United Kingdom,2012-2013,302616.0,,,z
Restored to the register,United Kingdom,2012-2013,4866.0,,,z
On register at end of period,United Kingdom,2012-2013,3044710.0,,,z
Change on previous year,United Kingdom,2012-2013,,z,0.06,
Of which: in liquidation,United Kingdom,2012-2013,80422.0,,,z
                 in course of removal,United Kingdom,2012-2013,185922.0,,,z
Effective numbers on register at end of period,United Kingdom,2012-2013,2778366.0,,,z
Change on previous year,United Kingdom,2012-2013,,z,0.06,
On register at start of period,England and Wales,2013-2014,2835866.0,,,z
Incorporations,England and Wales,2013-2014,499272.0,,,z
Dissolved,England and Wales,2013-2014,311737.0,,,z
Restored to the register,England and Wales,2013-2014,4644.0,,,z
On register at end of period,England and Wales,2013-2014,3027852.0,,,z
Change on previous year,England and Wales,2013-2014,,z,0.07,
Of which: in liquidation,England and Wales,2013-2014,77101.0,,,z
                 in course of removal,England and Wales,2013-2014,185068.0,,,z
Effective numbers on register at end of period,England and Wales,2013-2014,2765683.0,,,z
Change on previous year,England and Wales,2013-2014,,z,0.07,
On register at start of period,Scotland,2013-2014,166506.0,,,z
Incorporations,Scotland,2013-2014,27602.0,,,z
Dissolved,Scotland,2013-2014,17470.0,,,z
Restored to the register,Scotland,2013-2014,299.0,,,z
On register at end of period,Scotland,2013-2014,176819.0,,,z
Change on previous year,Scotland,2013-2014,,z,0.06,
Of which: in liquidation,Scotland,2013-2014,3904.0,,,z
                 in course of removal,Scotland,2013-2014,12133.0,,,z
Effective numbers on register at end of period,Scotland,2013-2014,160782.0,,,z
Change on previous year,Scotland,2013-2014,,z,0.06,
On register at start of period,Northern Ireland,2013-2014,42338.0,,,z
Incorporations,Northern Ireland,2013-2014,6139.0,,,z
Dissolved,Northern Ireland,2013-2014,2926.0,,,z
Restored to the register,Northern Ireland,2013-2014,103.0,,,z
On register at end of period,Northern Ireland,2013-2014,45654.0,,,z
Change on previous year,Northern Ireland,2013-2014,,z,0.08,
Of which: in liquidation,Northern Ireland,2013-2014,1687.0,,,z
                 in course of removal,Northern Ireland,2013-2014,2333.0,,,z
Effective numbers on register at end of period,Northern Ireland,2013-2014,41634.0,,,z
Change on previous year,Northern Ireland,2013-2014,,z,0.07,
On register at start of period,United Kingdom,2013-2014,3044710.0,,,z
Incorporations,United Kingdom,2013-2014,533013.0,,,z
Dissolved,United Kingdom,2013-2014,332133.0,,,z
Restored to the register,United Kingdom,2013-2014,5046.0,,,z
On register at end of period,United Kingdom,2013-2014,3250325.0,,,z
Change on previous year,United Kingdom,2013-2014,,z,0.07,
Of which: in liquidation,United Kingdom,2013-2014,82692.0,,,z
                 in course of removal,United Kingdom,2013-2014,199534.0,,,z
Effective numbers on register at end of period,United Kingdom,2013-2014,2968099.0,,,z
Change on previous year,United Kingdom,2013-2014,,z,0.07,
On register at start of period,England and Wales,2014-2015,3027852.0,,,z
Incorporations,England and Wales,2014-2015,550942.0,,,z
Dissolved,England and Wales,2014-2015,346071.0,,,z
Restored to the register,England and Wales,2014-2015,5092.0,,,z
On register at end of period,England and Wales,2014-2015,3229998.0,,,z
Change on previous year,England and Wales,2014-2015,,z,0.07,
Of which: in liquidation,England and Wales,2014-2015,74903.0,,,z
                 in course of removal,England and Wales,2014-2015,166467.0,,,z
Effective numbers on register at end of period,England and Wales,2014-2015,2988628.0,,,z
Change on previous year,England and Wales,2014-2015,,z,0.08,
On register at start of period,Scotland,2014-2015,176819.0,,,z
Incorporations,Scotland,2014-2015,28169.0,,,z
Dissolved,Scotland,2014-2015,19810.0,,,z
Restored to the register,Scotland,2014-2015,308.0,,,z
On register at end of period,Scotland,2014-2015,185420.0,,,z
Change on previous year,Scotland,2014-2015,,z,0.05,
Of which: in liquidation,Scotland,2014-2015,3968.0,,,z
                 in course of removal,Scotland,2014-2015,11145.0,,,z
Effective numbers on register at end of period,Scotland,2014-2015,170307.0,,,z
Change on previous year,Scotland,2014-2015,,z,0.06,
On register at start of period,Northern Ireland,2014-2015,45654.0,,,z
Incorporations,Northern Ireland,2014-2015,6630.0,,,z
Dissolved,Northern Ireland,2014-2015,3645.0,,,z
Restored to the register,Northern Ireland,2014-2015,102.0,,,z
On register at end of period,Northern Ireland,2014-2015,48737.0,,,z
Change on previous year,Northern Ireland,2014-2015,,z,0.07,
Of which: in liquidation,Northern Ireland,2014-2015,1756.0,,,z
                 in course of removal,Northern Ireland,2014-2015,2219.0,,,z
Effective numbers on register at end of period,Northern Ireland,2014-2015,44762.0,,,z
Change on previous year,Northern Ireland,2014-2015,,z,0.08,
On register at start of period,United Kingdom,2014-2015,3250325.0,,,z
Incorporations,United Kingdom,2014-2015,585741.0,,,z
Dissolved,United Kingdom,2014-2015,369526.0,,,z
Restored to the register,United Kingdom,2014-2015,5502.0,,,z
On register at end of period,United Kingdom,2014-2015,3464155.0,,,z
Change on previous year,United Kingdom,2014-2015,,z,0.07,
Of which: in liquidation,United Kingdom,2014-2015,80627.0,,,z
                 in course of removal,United Kingdom,2014-2015,179831.0,,,z
Effective numbers on register at end of period,United Kingdom,2014-2015,3203697.0,,,z
Change on previous year,United Kingdom,2014-2015,,z,0.08,
On register at start of period,England and Wales,2015-2016,3229998.0,,,z
Incorporations,England and Wales,2015-2016,575102.0,,,z
